序号,时间(s),电压,阻抗
752,94.725,1.272066,7317.539063
753,94.851,1.273017,7315.414063
754,94.977,1.272767,7314.100586
755,95.103,1.272667,7315.601074
756,95.229,1.272491,7314.386230
757,95.355,1.272742,7321.607910
758,95.481,1.272216,7313.156738
759,95.607,1.272667,7312.811035
760,95.734,1.272491,7312.242676
761,95.859,1.272166,7316.493164
762,95.986,1.272366,7310.803223
763,96.111,1.272567,7313.255859
764,96.237,1.272241,7315.800293
765,96.363,1.272091,7312.136719
766,96.489,1.272116,7314.504883
767,96.615,1.272216,7310.012207
768,96.741,1.272216,7312.547852
769,96.867,1.272516,7314.934082
770,96.993,1.272141,7316.729980
771,97.119,1.272141,7316.545898
772,97.245,1.272567,7314.209473
773,97.371,1.272166,7311.398438
774,97.497,1.272366,7313.723145
775,97.624,1.273067,7311.419434
776,97.749,1.271841,7316.461914
777,97.875,1.272892,7310.033691
778,98.001,1.272066,7311.919434
779,98.128,1.272216,7312.807617
780,98.256,1.272767,7311.893066
781,98.379,1.272116,7313.660645
782,98.505,1.272391,7315.415527
783,98.631,1.272516,7311.614746
784,98.757,1.272767,7314.036133
785,98.883,1.271591,7316.305176
786,99.009,1.272241,7311.939941
787,99.135,1.272567,7311.957031
788,99.261,1.271541,7314.924316
789,99.387,1.272141,7312.409180
790,99.513,1.272216,7313.993164
791,99.640,1.271866,7316.101074
792,99.765,1.272041,7318.357910
793,99.891,1.272667,7311.528320
794,100.017,1.272066,7313.312012
795,100.143,1.272216,7313.449219
796,100.269,1.272166,7311.944336
797,100.395,1.272441,7311.493164
798,100.521,1.272341,7312.406738
799,100.646,1.272266,7315.239746
800,100.773,1.272567,7316.641113
801,100.899,1.272341,7315.663574
802,101.024,1.272366,7310.294434
803,101.151,1.272817,7312.467773
804,101.277,1.272416,7312.968262
805,101.405,1.272016,7314.782715
806,101.530,1.272892,7313.992676
807,101.655,1.272516,7316.300293
808,101.782,1.271941,7313.734863
809,101.906,1.272942,7314.880371
810,102.032,1.272742,7316.533203
811,102.159,1.271866,7311.770020
812,102.285,1.272642,7313.993652
813,102.411,1.272091,7315.742676
814,102.536,1.272166,7316.110840
815,102.663,1.271966,7313.271484
816,102.790,1.272466,7304.927246
817,102.915,1.272416,7313.069336
818,103.040,1.271916,7313.762695
819,103.166,1.272341,7315.521484
