序号,时间(s),电压,阻抗
1466,183.213,-1.748476937259471,6804.328613
1467,183.337,-1.751502889980669,6803.874023
1468,183.462,-1.7532713109683637,6803.844727
1469,183.587,-1.7534642384097552,6803.84375
1470,183.713,-1.7520224822938057,6805.141113
1471,183.838,-1.7491825076320695,6804.781738
1472,183.962,-1.7454477463620075,6804.723145
1473,184.088,-1.7414977141189925,6803.696289
1474,184.212,-1.7380526638560048,6804.116211
1475,184.337,-1.7357283851439804,6803.814941
1476,184.463,-1.7349175851128242,6804.360352
1477,184.588,-1.7357169467671925,6803.029785
1478,184.713,-1.737905317765851,6805.265137
1479,184.837,-1.740979038966801,6804.781738
1480,184.962,-1.7442448303341664,6805.114746
1481,185.087,-1.7469495487042477,6804.751953
1482,185.212,-1.7484146422753142,6805.44873
1483,185.337,-1.7481558667580805,6805.990723
1484,185.462,-1.7459790196642018,6805.844727
1485,185.587,-1.74202956565847,6805.991211
1486,185.713,-1.7367669864888293,6805.508789
1487,185.837,-1.730864473258864,6805.388672
1488,185.962,-1.7250736097705939,6805.118652
1489,186.087,-1.7200954852139863,6805.721191
1490,186.212,-1.7164739598123617,6805.44873
1491,186.337,-1.7145163460188975,6805.661133
1492,186.462,-1.7142538971717112,6805.390625
1493,186.587,-1.715451455731084,6804.149902
1494,186.712,-1.717663056068791,6804.179199
1495,186.837,-1.7203269090362485,6803.514648
1496,186.962,-1.7228901081662433,6804.634766
1497,187.087,-1.7249332629395941,6803.54834
1498,187.212,-1.7262482378162107,6804.179688
1499,187.337,-1.7268410847267115,6803.908691
1500,187.462,-1.7268737355086232,6805.572266
1501,187.587,-1.7265773671042282,6804.061523
1502,187.712,-1.7261602771199025,6805.147949
1503,187.837,-1.7257277977809395,6803.490723
1504,187.962,-1.7252410347271705,6802.158203
1505,188.088,-1.7245352702689025,6801.851074
1506,188.212,-1.7233886805935472,6802.576172
1507,188.337,-1.721609697037179,6802.063965
1508,188.462,-1.719114725434227,6802.546387
1509,188.587,-1.7159763405281303,6801.338867
1510,188.712,-1.7124241369415985,6802.877441
1511,188.837,-1.708794329077182,6802.817871
1512,188.962,-1.7054512415176621,6802.424805
1513,189.088,-1.7027140022819094,6802.004883
1514,189.212,-1.7008056960781768,6802.971191
1515,189.337,-1.6998278458238847,6802.518066
1516,189.462,-1.699763672152232,6803.089844
1517,189.587,-1.7005090777793628,6802.395508
1518,189.712,-1.7019147007143156,6802.306152
1519,189.837,-1.7038189758083304,6801.609863
1520,189.962,-1.7060659695941758,6801.279785
1521,190.087,-1.7085079565723673,6802.246582
1522,190.212,-1.7109877319368723,6801.309082
1523,190.337,-1.7133064296942795,6801.521484
1524,190.462,-1.7152086613955078,6800.979492
1525,190.587,-1.7164183214101556,6801.763672
1526,190.712,-1.71672106900287,6801.433105
1527,190.837,-1.7160513318655064,6801.704102
1528,190.962,-1.7145375182102873,6801.404297
1529,191.087,-1.712480747260468,6800.679199
1530,191.212,-1.710269241058937,6801.339844
1531,191.337,-1.7082591097480566,6801.580078
1532,191.463,-1.7066741628125197,6801.584961
1533,191.587,-1.705567278560545,6801.550293
1534,191.712,-1.704843624876065,6801.974609
1535,191.837,-1.7043151041439208,6801.069336
1536,191.962,-1.7037629364235123,6801.161133
1537,192.087,-1.7030009669260326,6800.525879
1538,192.212,-1.7019251280475372,6800.313477
1539,192.337,-1.7005273522525897,6801.64502
1540,192.463,-1.6988740669620068,6801.220703
1541,192.587,-1.6970754196627742,6801.192871
1542,192.712,-1.6952636438870923,6801.067871
1543,192.837,-1.6935736759760336,6801.191895
1544,192.962,-1.6921177613566492,6801.733887
1545,193.087,-1.6909637956583523,6802.12793
1546,193.212,-1.690128779748664,6802.1875
1547,193.337,-1.6895838649035588,6802.487793
1548,193.462,-1.6892643363670088,6803.030273
1549,193.587,-1.6890857644454553,6803.819824
1550,193.711,-1.688964147820528,6802.458496
1551,193.837,-1.6888285282992657,6802.099121
1552,193.962,-1.6886202959295018,6802.58252
1553,194.087,-1.6882866062565465,6802.22168
1554,194.212,-1.6877746498451944,6802.30957
1555,194.337,-1.6870258612628108,6804.245117
1556,194.463,-1.685974074426178,6803.488281
1557,194.587,-1.6845600170679718,6803.973145
1558,194.711,-1.682764303843871,6802.858887
1559,194.837,-1.6806404938249229,6805.819824
1560,194.962,-1.6783255999161926,6803.523926
1561,195.086,-1.6760193585774195,6802.645996
1562,195.212,-1.6739364021178487,6801.526855
1563,195.337,-1.6722437929894576,6801.133301
1564,195.461,-1.6710088854607448,6800.377441
1565,195.587,-1.6701877183136804,6801.644043
1566,195.712,-1.6696620138216816,6801.313965
1567,195.838,-1.669298411112015,6802.099121
1568,195.962,-1.6689960200065486,6801.433105
1569,196.087,-1.6687107657380589,6803.007813
1570,196.211,-1.668460837456988,6801.585449
1571,196.337,-1.6683141982662153,6802.22168
1572,196.461,-1.668361195812514,6802.705078
1573,196.587,-1.6686872882881827,6800.349121
1574,196.712,-1.6693563107362082,6800.890137
1575,196.837,-1.6703943772998489,6800.80127
1576,196.962,-1.6717638359878904,6801.285645
1577,197.086,-1.6733407425444133,6800.831055
1578,197.211,-1.67491966106054,6801.739258
1579,197.337,-1.676250649214207,6801.556641
1580,197.461,-1.677095842982642,6800.742676
1581,197.586,-1.6772955397624423,6801.557617
1582,197.711,-1.6768343947487105,6802.221191
1583,197.836,-1.6758851410039757,6801.526367
