序号,时间(s),电压(V)
439,1.776,0.27079191720381396
440,1.78,0.2857964623555375
441,1.784,0.21678973197332063
442,1.788,0.07632507514465318
443,1.792,-0.1011984083169717
444,1.796,-0.2631194240916009
445,1.8,-0.3492536759376063
446,1.804,-0.3093038447658234
447,1.808,-0.12164488744290353
448,1.812,0.19470407673752146
449,1.816,0.5809521372405704
450,1.82,0.952475701042737
451,1.824,1.22081049948015
452,1.828,1.3166216921222842
453,1.832,1.2072038728340215
454,1.836,0.9041291833570939
455,1.84,0.4597314029248746
456,1.844,-0.045598789625255695
457,1.848,-0.5213320666074569
458,1.852,-0.885696714826368
459,1.856,-1.0818728515636127
460,1.86,-1.0885017418044591
461,1.864,-0.922349955293479
462,1.868,-0.6321764214635552
463,1.872,-0.285034684253813
464,1.876,0.05079782341859724
465,1.88,0.3203393265660581
466,1.884,0.4893565328059854
467,1.888,0.5441214408961249
468,1.892,0.4864242453605325
469,1.896,0.32782977312081535
470,1.9,0.08579977171924791
471,1.904,-0.21772353941268904
472,1.908,-0.5561613419889035
473,1.912,-0.8982355147729886
474,1.916,-1.2095580548123783
475,1.92,-1.4562576576080983
476,1.924,-1.609597750031732
477,1.928,-1.6501290104203745
478,1.932,-1.5705539876391206
479,1.936,-1.3770387775487016
480,1.94,-1.0887583624561434
481,1.944,-0.7356153909142403
482,1.948,-0.3546208701330868
483,1.952,0.014115445170287132
484,1.956,0.33108172262978636
485,1.96,0.5609977642089773
486,1.964,0.6772948630489891
487,1.968,0.6675808465395594
488,1.972,0.5383870687467419
489,1.976,0.3163949985848345
490,1.98,0.044308158365458705
491,1.984,-0.22797181768854638
492,1.988,-0.4539498319104344
493,1.992,-0.5994783316103138
494,1.996,-0.6479796382355237
495,2.0,-0.6018442361347783
496,2.004,-0.4807140051519331
497,2.008,-0.3169517381022477
498,2.012,-0.1484154640269807
499,2.016,-0.00959748017274482
500,2.02,0.07648328232082204
501,2.024,0.10302053463765991
502,2.028,0.0795886695824487
503,2.032,0.028290492860407794
504,2.036,-0.022950569416764936
505,2.04,-0.04872963072365055
506,2.044,-0.034090177481046285
507,2.048,0.020757346876429255
508,2.052,0.10069149537703355
509,2.056,0.18028594092222344
510,2.06,0.23051829743850588
511,2.064,0.22548785937195914
512,2.068,0.14817791818209192
513,2.072,-0.004911970040948004
514,2.076,-0.2205450920496815
515,2.08,-0.46778235786657846
516,2.084,-0.700418143928038
517,2.088,-0.8636466296827158
518,2.092,-0.9048201925292189
519,2.096,-0.7866697034258476
520,2.1,-0.4997366564923454
521,2.104,-0.06981524428484628
522,2.108,0.44309072123517196
523,2.112,0.9551338007849289
524,2.116,1.3757700578613852
525,2.12,1.626983611959525
526,2.124,1.6597621712550463
527,2.128,1.46425090483957
528,2.132,1.0717158589519538
529,2.136,0.5481165000138467
530,2.14,-0.019446867775806422
531,2.144,-0.5407868804817532
532,2.148,-0.9412591847564945
533,2.152,-1.1763020712101848
534,2.156,-1.2378603792656033
535,2.16,-1.1510089906444698
536,2.164,-0.9624384939792592
537,2.168,-0.7252817501307706
538,2.172,-0.48550327103637747
539,2.176,-0.2734736680281358
540,2.18,-0.10178862827279352
541,2.184,0.0315651926144739
542,2.188,0.1366499656199467
543,2.192,0.2241762523594418
544,2.196,0.3000133751579642
545,2.2,0.36384892249444095
546,2.204,0.41278100907954984
547,2.208,0.44819869263893813
548,2.212,0.4817065664483671
549,2.216,0.5351359719527253
550,2.22,0.6324770136741874
551,2.224,0.7865758685888985
552,2.228,0.9871026899200017
553,2.232,1.196269535334194
554,2.236,1.3555651620924416
555,2.24,1.402124220321508
556,2.244,1.289130580499879
